Artists,Title,Quality,Transpose,Link,,,,,
10cc,For You And I,★★,,https://archive.org/details/10cc-ForYouAndI1978-SheetMusic_201901/page/3/mode/2up?view=theater,,,,,
21 Pilots,Stressed Out,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/161462/Product.aspx,,,,,
3 Doors Down,Here Without You,★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/29174/Product.aspx,,,,,
4 Non Blondes,What's Up?,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18178/Product.aspx,,,,,
A Chorus Line,What I Did for Love,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29827/Product.aspx,,,,,
A Fine Frenzy,Almost Lover,★★★,,https://musescore.com/official_author/scores/6921643,,,,,
ABBA,Thank You for the Music,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/51028/Product.aspx,,,,,
ABBA,Dancing Queen,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30409/Product.aspx,,,,,
"Adam Pascal, Heather Headley",Written in the Stars (Aida),,,https://sheetmusicdirect.com/en-US/se/ID_No/13881/Product.aspx,,,,,
Adam Young,Fireflies,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/72406/Product.aspx,,,,,
Adele Adkins,Make You Feel My Love,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/40039/Product.aspx,,,,,
Adele Adkins,Easy On Me,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/514612/Product.aspx,,,,,
"Adele Adkins, Dan Wilson",Someone Like You,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/84082/Product.aspx,,,,,
Aerosmith,Cryin',,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16352/Product.aspx,,,,,
Al Stewart,Year of the Cat,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32219/Product.aspx,,,,,
"Alan Menken, Tim Rice",If I Can't Love Her (From Beauty and the Beast),★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16279/Product.aspx,,,,,
Alan Parsons Project,Eye in the Sky,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23477/Product.aspx,,,,,
Alan Parsons Project,I Wouldn’t Want to Be Like You,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/53691/Product.aspx,,,,,
Alan Parsons Project,Old And Wise,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/67135/Product.aspx,,,,,
Alan Walker,Faded,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/122859/Product.aspx,,,,,
Alessia Cara,Here,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/162364/Product.aspx,,,,,
Alessia Cara ft Zedd,Stay,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/187030/Product.aspx,,,,,
Ambrosia,Holdin’ on to Yesterday,★★,,PDF,,,,,
America,You Can Do Magic,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/85946/Product.aspx,,,,,
Anberlin,*fin (Chords),★★★,,https://tabs.ultimate-guitar.com/tab/anberlin/fin-chords-484728,,,,,
"Anderson .Paak, Bruno Mars, Silk Sonic",Leave the Door Open,★,-2,https://www.sheetmusicdirect.com/en-US/se/ID_No/479939/Product.aspx,,,,,
Andrea Bocelli,Melodramma,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/409185/Product.aspx,,,,,
Andrew Lloyd Webber,All I Ask Of You (Phantom Of The Opera),★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21369/Product.aspx,,,,,
Andrew Lloyd Webber,Unexpected Song (from Song & Dance),★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29872/Product.aspx,,,,,
Andrew Lloyd Webber,Love Changes Everything (Aspects of Love),★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21375/Product.aspx,,,,,
Andrew Lloyd Webber,Tell Me on a Sunday (Song and Dance),★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21437/Product.aspx,,,,,
Anita Baker,Sweet Love,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94726/Product.aspx,,,,,
Ariana Grande,We Can't Be Friends,★★★★★,,https://musescore.com/user/39593079/scores/15462583,,,,,
Ariana Grande,Positions,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/471655/Product.aspx,,,,,
Ariana Grande,"Thank U, Next",★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/405381/Product.aspx,,,,,
Ariana Grande,7 Rings,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/408704/Product.aspx,,,,,
Ariana Grande,goodnight n go,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/406838/Product.aspx,,,,,
Ariana Grande,Twilight Zone,,,https://musescore.com/user/97106398/scores/25925269,,,,,
Augustana,Boston,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57084/Product.aspx,,,,,
Avenue Q,What Do You Do with a B.A. in English?,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28495/Product.aspx,,,,,
Bacharach & David,House Is Not A Home,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/76979/Product.aspx,,,,,
Backstreet Boys,Shape Of My Heart,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57047/Product.aspx,,,,,
Backstreet Boys,I Want It That Way,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/31326/Product.aspx,,,,,
Bad Religion,Sorrow,★★★★,,https://musescore.com/user/97106398/scores/18060790,,,,,
Barbara Streisand,The Way We Were,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16454/Product.aspx,,,,,
Barbara Streisand,Who Will Buy,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/15873/Product.aspx,,,,,
Barbara Streisand,Woman In Love,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50973/Product.aspx,,,,,
