Title,Artists,Quality,Transpose,Link,,,,,
1973,James Blunt,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/62565/Product.aspx,,,,,
(I Just) Died in Your Arms,Cutting Crew,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57395/Product.aspx,,,,,
(They Long to Be) Close to You,"Burt Bacharach, Hal David",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19647/Product.aspx,,,,,
(Where Do I Begin?) Love Story,"Francis Lai, Carl Sigman",★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16404/Product.aspx,,,,,
*fin (Chords),Anberlin,★★★,,https://tabs.ultimate-guitar.com/tab/anberlin/fin-chords-484728,,,,,
100 Years,Five for Fighting,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26572/Product.aspx,,,,,
21 Guns (American Idiot),Green Day,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/86042/Product.aspx,,,,,
7 Rings,Ariana Grande,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/408704/Product.aspx,,,,,
93 Million Miles,Jason Mraz,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92118/Product.aspx,,,,,
A Christmas Song,Nat King Cole,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/85778/Product.aspx,,,,,
A Sky Full of Stars,Coldplay,★,,https://musescore.com/official_author/scores/6921571,,,,,
A Sunday Kind of Love,Etta James,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30899/Product.aspx,,,,,
About Damn Time,Lizzo,,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/937353/Product.aspx,,,,,
Adore You,Harry Styles,,,https://www.sheetmusicwdirect.com/en-US/se/ID_No/435370/Product.aspx,,,,,
Aida,Sarah McLachlan,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16635/Product.aspx,,,,,
Aimer (Roméo Et Juliette),"Cécilia Cara, Damien Sargue",★,,https://musescore.com/user/36962362/scores/10981309,,,,,
All by Myself,Eric Carmen,★★★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/33535/Product.aspx,,,,,
All Fall Down,OneRepublic,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64986/Product.aspx,,,,,
All I Ask Of You (Phantom Of The Opera),Andrew Lloyd Webber,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21369/Product.aspx,,,,,
All In Love Is Fair,Stevie Wonder,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26573/Product.aspx,,,,,
All of Me,John Legend,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/117530/Product.aspx,,,,,
All We Do,Oh Wonder,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/124069/Product.aspx,,,,,
Almost Lover,A Fine Frenzy,,,https://musescore.com/official_author/scores/6921643,,,,,
Alone Again (Naturally),Gilbert O'Sullivan,★★,1,https://www.sheetmusicdirect.com/en-US/se/ID_No/23948/Product.aspx,,,,,
Always,Billie Holiday,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16318/Product.aspx,,,,,
Always and Forever,"Heatwave, Rod Temperton",★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19811/Product.aspx,,,,,
Always Remember Us This Way,Lady Gaga,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403235/Product.aspx,,,,,
And So It Goes,Billy Joel,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/56313/Product.aspx,,,,,
